job_id_compression,Compressor_Name,Compression_Time,Decompression_Time,Ratio
job_0_1_0,fqzcomp_-Q_8,150,210,8.864312
job_0_2_0,fqzcomp_-Q_10,149,210,8.944115
job_0_3_0,fqzcomp_-Q_15,147,211,8.818365
job_0_0_0,fqzcomp_-Q_5,149,210,8.631271
job_0_4_0,fqzcomp_-Q_20,151,210,8.690193
job_0_10_0,renano_-t_28,30,37,5.188697
job_0_11_0,enano_-t_28,30,36,5.169140
job_0_9_0,spring_-c_-l_-q_ill_bin,451,214,7.599384
job_0_8_0,spring_-c_-l_-q_qvz_0.4,10663,0,
job_0_7_0,spring_-c_-l_-q_qvz_0.6,10792,1,
job_0_5_0,spring_-c_-l_-q_qvz_1,11239,0,
job_0_6_0,spring_-c_-l_-q_qvz_0.8,10934,0,
