job_id,Compressor_Name,True_Positives(TP),False_Positives(FP),False_Negatives(FN),Precision,Recall,F1_Score
post_hoc_0_8_0,spring_-c_-l_-q_qvz_0.4,65336, 96315, 327, .404179, .995020, .574851
post_hoc_0_10_0,renano_-t_28,75616, 0, 2160494, 1.000000, .033815, .065417
post_hoc_0_7_0,spring_-c_-l_-q_qvz_0.6,0, 0, 0, , , 
post_hoc_0_5_0,spring_-c_-l_-q_qvz_1,65633, 89, 30, .998645, .999543, .999093
post_hoc_0_6_0,spring_-c_-l_-q_qvz_0.8,64772, 7382, 891, .897691, .986430, .939970
post_hoc_0_3_0,fqzcomp_-Q_15,1194506, 3098, 1041604, .997413, .534189, .695751
post_hoc_0_2_0,fqzcomp_-Q_10,1386120, 5199, 849990, .996263, .619880, .764243
post_hoc_0_0_0,fqzcomp_-Q_5,1553512, 5261, 682598, .996624, .694738, .818738
post_hoc_0_1_0,fqzcomp_-Q_8,1449978, 4423, 786132, .996958, .648437, .785785
post_hoc_0_4_0,fqzcomp_-Q_20,678274, 3030, 1557836, .995552, .303327, .464980
post_hoc_0_9_0,spring_-c_-l_-q_ill_bin,2233013, 8172, 3097, .996353, .998615, .997482
post_hoc_0_11_0,enano_-t_28,2236110, 0, 0, 1.000000, 1.000000, 1.000000
